[Info]
Lang=1
1=Japanese
ExtComment=0

[TagDefinitions]
,I02204,"HEX-ITb凍結温度警報"
,I02501,"R-BTa蓄熱運転停止指令30001"
,I02502,"R-BTb蓄熱運転停止指令30004"
,I02503,"R-BTa放熱運転停止指令30003"
,I02504,"R-BTb放熱運転停止指令30006"
,I02505,"R-BTa追掛運転停止指令30002"
,I02506,"R-BTb追掛運転停止指令30005"
,I02507,"膨張タンク:HI"
,I02508,"膨張タンク:LO"
,I02509,"残蓄量設定"
,L30001,"R-BTa蓄熱運転停止指令30001"
,L30002,"R-BTa追掛運転停止指令30002"
,L30003,"R-BTa放熱運転停止指令30003"
,L30004,"R-BTb蓄熱運転停止指令30004"
,L30005,"R-BTb追掛運転停止指令30005"
,L30006,"R-BTb放熱運転停止指令30006"
,L30007,"膨張タンク:HI"
,L30008,"膨張タンク:LO"
,L30100,"残蓄量設定"
,L30257,"制御盤 中央/手元"
,L30258,"ｼｰｹﾝｻ異常"
,L30259,"R-BTa蓄熱運転状態"
,L30260,"R-BTa放熱運転状態"
,L30261,"R-BTa冷凍機運転状態"
,L30262,"ＲＢＴａ圧縮機Ｎｏ１運転"
,L30263,"R-BTa冷凍機製氷モ-ド"
,L30264,"R-BTa追掛バルブ切換失敗"
,L30265,"R-BTa蓄熱バルブ切換失敗"
,L30266,"R-BTa放熱バルブ切換失敗"
,L30267,"HEX-BTa凍結温度警報"
,L30268,"HEX-ITa凍結温度警報"
,L30269,"(SP-BTa-1)状態"
,L30270,"(SP-BTa-1)故障"
,L30271,"(SP-BTa-2)状態"
,L30272,"(SP-BTa-2)故障"
,L30273,"(SP-BTa-3)状態"
,L30274,"(SP-BTa-3)故障"
,L30275,"放熱用(PP-ITa-1)状態"
,L30276,"放熱用(PP-ITa-1)故障"
,L30277,"放熱用(PP-ITa-2)状態"
,L30278,"放熱用(PP-ITa-2)故障"
,L30279,"放熱用冷水P(P-ITa-1)状態"
,L30280,"放熱用冷水P(P-ITa-1)故障"
,L30281,"放熱用冷水P(P-ITa-2)状態"
,L30282,"放熱用冷水P(P-ITa-2)故障"
,L30283,"追掛用冷水P(P-BTa-1)状態"
,L30284,"追掛用冷水P(P-BTa-1)故障"
